customer_id,first_name,last_name,phone,email,street,city,state,zip_code,source,category_id,category_name,product_id,product_name,brand_id,model_year,list_price,staff_id,active,store_id,manager_id,brand_name,store_name,quantity,order_id,item_id,discount,order_status,order_date,required_date,shipped_date
19.0,Lizzette,Stein,,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127.0,data lake,,,,,,,,,,,,,,,,,,,,,
20.0,Aleta,Shepard,,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478.0,data lake,,,,,,,,,,,,,,,,,,,,,
21.0,Tobie,Little,,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904.0,data lake,,,,,,,,,,,,,,,,,,,,,
22.0,Adelle,Larsen,,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731.0,data lake,,,,,,,,,,,,,,,,,,,,,
23.0,Kaylee,English,,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423.0,data lake,,,,,,,,,,,,,,,,,,,,,
24.0,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301.0,data lake,,,,,,,,,,,,,,,,,,,,,
25.0,Regenia,Vaughan,,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541.0,data lake,,,,,,,,,,,,,,,,,,,,,
26.0,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561.0,data lake,,,,,,,,,,,,,,,,,,,,,
27.0,Santos,Valencia,,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104.0,data lake,,,,,,,,,,,,,,,,,,,,,
28.0,Jeanice,Frost,,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562.0,data lake,,,,,,,,,,,,,,,,,,,,,
29.0,Syreeta,Hendricks,,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541.0,data lake,,,,,,,,,,,,,,,,,,,,,
30.0,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505.0,data lake,,,,,,,,,,,,,,,,,,,,,
31.0,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603.0,data lake,,,,,,,,,,,,,,,,,,,,,
32.0,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831.0,data lake,,,,,,,,,,,,,,,,,,,,,
33.0,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274.0,data lake,,,,,,,,,,,,,,,,,,,,,
34.0,Brittney,Woodward,,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731.0,data lake,,,,,,,,,,,,,,,,,,,,,
35.0,Guillermina,Noble,,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027.0,data lake,,,,,,,,,,,,,,,,,,,,,
36.0,Bernita,Mcdaniel,,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090.0,data lake,,,,,,,,,,,,,,,,,,,,,
37.0,Melia,Brady,,melia.brady@gmail.com,907 Shirley Rd. ,Maspeth,NY,11378.0,data lake,,,,,,,,,,,,,,,,,,,,,
38.0,Zelma,Browning,,zelma.browning@aol.com,296 Second Street ,Astoria,NY,11102.0,data lake,,,,,,,,,,,,,,,,,,,,,
39.0,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,214 Second Court ,Lancaster,NY,14086.0,data lake,,,,,,,,,,,,,,,,,,,,,
40.0,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316.0,data lake,,,,,,,,,,,,,,,,,,,,,
41.0,Kathie,Freeman,,kathie.freeman@msn.com,667 Temple Dr. ,Queensbury,NY,12804.0,data lake,,,,,,,,,,,,,,,,,,,,,
42.0,Tangela,Quinn,,tangela.quinn@aol.com,4 S. Purple Finch Road ,Richmond Hill,NY,11418.0,data lake,,,,,,,,,,,,,,,,,,,,,
43.0,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,895 Chestnut Ave. ,Houston,TX,77016.0,data lake,,,,,,,,,,,,,,,,,,,,,
44.0,Onita,Johns,,onita.johns@msn.com,32 Glen Creek Lane ,Elmont,NY,11003.0,data lake,,,,,,,,,,,,,,,,,,,,,
45.0,Bennett,Armstrong,,bennett.armstrong@aol.com,688 Walnut Street ,Bethpage,NY,11714.0,data lake,,,,,,,,,,,,,,,,,,,,,
46.0,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316.0,data lake,,,,,,,,,,,,,,,,,,,,,
47.0,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580.0,data lake,,,,,,,,,,,,,,,,,,,,,
48.0,Cesar,Jackson,,cesar.jackson@gmail.com,8068 N. Griffin Ave. ,Liverpool,NY,13090.0,data lake,,,,,,,,,,,,,,,,,,,,,
49.0,Caroll,Hays,,caroll.hays@yahoo.com,9381 Wrangler St. ,Fairport,NY,14450.0,data lake,,,,,,,,,,,,,,,,,,,,,
50.0,Cleotilde,Booth,,cleotilde.booth@gmail.com,17 Corona St. ,Sugar Land,TX,77478.0,data lake,,,,,,,,,,,,,,,,,,,,,
51.0,Gertrud,Rhodes,,gertrud.rhodes@aol.com,9961 Meadowbrook Street ,Merrick,NY,11566.0,data lake,,,,,,,,,,,,,,,,,,,,,
52.0,Tu,Ramirez,,tu.ramirez@hotmail.com,24 W. Courtland Street ,East Elmhurst,NY,11369.0,data lake,,,,,,,,,,,,,,,,,,,,,
53.0,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740.0,data lake,,,,,,,,,,,,,,,,,,,,,
54.0,Fran,Yang,,fran.yang@hotmail.com,440 Pearl St. ,Utica,NY,13501.0,data lake,,,,,,,,,,,,,,,,,,,,,
55.0,Diana,Guerra,,diana.guerra@hotmail.com,45 Chapel Ave. ,Merrick,NY,11566.0,data lake,,,,,,,,,,,,,,,,,,,,,
56.0,Lolita,Mosley,(281) 363-3309,lolita.mosley@hotmail.com,376 S. High Ridge St. ,Houston,TX,77016.0,data lake,,,,,,,,,,,,,,,,,,,,,
57.0,Pamala,Henry,,pamala.henry@aol.com,197 Bridgeton Ave. ,Bronx,NY,10451.0,data lake,,,,,,,,,,,,,,,,,,,,,
58.0,Damien,Dorsey,,damien.dorsey@yahoo.com,161 Old York Street ,Central Islip,NY,11722.0,data lake,,,,,,,,,,,,,,,,,,,,,
59.0,Latasha,Stanley,,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570.0,data lake,,,,,,,,,,,,,,,,,,,,,
60.0,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070.0,data lake,,,,,,,,,,,,,,,,,,,,,
61.0,Elinore,Aguilar,,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901.0,data lake,,,,,,,,,,,,,,,,,,,,,
62.0,Alica,Hunter,,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369.0,data lake,,,,,,,,,,,,,,,,,,,,,
63.0,Tenisha,Lyons,,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701.0,data lake,,,,,,,,,,,,,,,,,,,,,
64.0,Bobbie,Foster,,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115.0,data lake,,,,,,,,,,,,,,,,,,,,,
65.0,Kanesha,Vega,,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440.0,data lake,,,,,,,,,,,,,,,,,,,,,
66.0,Lorrie,Becker,,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043.0,data lake,,,,,,,,,,,,,,,,,,,,,
67.0,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820.0,data lake,,,,,,,,,,,,,,,,,,,,,
68.0,Jayne,Kirkland,,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,75088.0,data lake,,,,,,,,,,,,,,,,,,,,,
69.0,Katelin,Kennedy,,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677.0,data lake,,,,,,,,,,,,,,,,,,,,,
70.0,Tomasa,Carson,,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,11369.0,data lake,,,,,,,,,,,,,,,,,,,,,
71.0,Takako,Casey,,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,10451.0,data lake,,,,,,,,,,,,,,,,,,,,,
72.0,Petronila,Norris,,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733.0,data lake,,,,,,,,,,,,,,,,,,,,,
73.0,Melanie,Hayes,,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,13090.0,data lake,,,,,,,,,,,,,,,,,,,,,
74.0,Georgeann,Waller,,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,14120.0,data lake,,,,,,,,,,,,,,,,,,,,,
75.0,Abby,Gamble,,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,11701.0,data lake,,,,,,,,,,,,,,,,,,,,,
76.0,Parker,Prince,,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,11776.0,data lake,,,,,,,,,,,,,,,,,,,,,
77.0,Keri,Bridges,,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,75080.0,data lake,,,,,,,,,,,,,,,,,,,,,
78.0,Chi,Goff,,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274.0,data lake,,,,,,,,,,,,,,,,,,,,,
79.0,Ashanti,Parks,,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,11510.0,data lake,,,,,,,,,,,,,,,,,,,,,
80.0,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,14215.0,data lake,,,,,,,,,,,,,,,,,,,,,
81.0,Zina,Bonner,,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580.0,data lake,,,,,,,,,,,,,,,,,,,,,
82.0,Lizzie,Joyner,,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236.0,data lake,,,,,,,,,,,,,,,,,,,,,
83.0,Tiesha,Daniel,,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,10583.0,data lake,,,,,,,,,,,,,,,,,,,,,
84.0,Armand,Whitehead,,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,11757.0,data lake,,,,,,,,,,,,,,,,,,,,,
85.0,Teofila,Fischer,,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,11746.0,data lake,,,,,,,,,,,,,,,,,,,,,
86.0,Lissa,Vargas,,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,13126.0,data lake,,,,,,,,,,,,,,,,,,,,,
87.0,Yan,Mcgowan,,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010.0,data lake,,,,,,,,,,,,,,,,,,,,,
88.0,Titus,Bullock,,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,11423.0,data lake,,,,,,,,,,,,,,,,,,,,,
89.0,Arvilla,Osborn,,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784.0,data lake,,,,,,,,,,,,,,,,,,,,,
90.0,Marjorie,Logan,,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,11010.0,data lake,,,,,,,,,,,,,,,,,,,,,
91.0,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111.0,data lake,,,,,,,,,,,,,,,,,,,,,
92.0,Tena,Cruz,,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,11735.0,data lake,,,,,,,,,,,,,,,,,,,,,
93.0,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,12180.0,data lake,,,,,,,,,,,,,,,,,,,,,
94.0,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027.0,data lake,,,,,,,,,,,,,,,,,,,,,
95.0,Letitia,Franco,,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,12866.0,data lake,,,,,,,,,,,,,,,,,,,,,
96.0,Floretta,Higgins,,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,11361.0,data lake,,,,,,,,,,,,,,,,,,,,,
97.0,Louanne,Martin,,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993.0,data lake,,,,,,,,,,,,,,,,,,,,,
98.0,Violet,Valenzuela,,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,12901.0,data lake,,,,,,,,,,,,,,,,,,,,,
99.0,Carie,Kidd,,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,10950.0,data lake,,,,,,,,,,,,,,,,,,,,,
100.0,Kellie,Franco,,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725.0,data lake,,,,,,,,,,,,,,,,,,,,,
101.0,Nichelle,Howell,,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583.0,data lake,,,,,,,,,,,,,,,,,,,,,
102.0,Marisol,Goodman,,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,14424.0,data lake,,,,,,,,,,,,,,,,,,,,,
103.0,Sylvie,Wilkerson,,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,11791.0,data lake,,,,,,,,,,,,,,,,,,,,,
104.0,Katharina,Bates,,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008.0,data lake,,,,,,,,,,,,,,,,,,,,,
105.0,Marget,Hodge,,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,11421.0,data lake,,,,,,,,,,,,,,,,,,,,,
106.0,Raul,Melendez,,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,11373.0,data lake,,,,,,,,,,,,,,,,,,,,,
107.0,Cecil,Hopper,,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,11722.0,data lake,,,,,,,,,,,,,,,,,,,,,
108.0,Shae,Hickman,,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,11001.0,data lake,,,,,,,,,,,,,,,,,,,,,
109.0,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127.0,data lake,,,,,,,,,,,,,,,,,,,,,
110.0,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806.0,data lake,,,,,,,,,,,,,,,,,,,,,
111.0,Shila,White,,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,14127.0,data lake,,,,,,,,,,,,,,,,,,,,,
112.0,Yuk,Vega,,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,11552.0,data lake,,,,,,,,,,,,,,,,,,,,,
113.0,Eliana,Silva,,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,11735.0,data lake,,,,,,,,,,,,,,,,,,,,,
114.0,Thalia,Horne,,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,11701.0,data lake,,,,,,,,,,,,,,,,,,,,,
115.0,Rey,Lindsay,,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,10950.0,data lake,,,,,,,,,,,,,,,,,,,,,
116.0,Merlene,Vinson,,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,76039.0,data lake,,,,,,,,,,,,,,,,,,,,,
117.0,Dacia,William,,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,77478.0,data lake,,,,,,,,,,,,,,,,,,,,,
118.0,Le,Wood,,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,14534.0,data lake,,,,,,,,,,,,,,,,,,,,,
119.0,Thalia,Dillard,,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,76901.0,data lake,,,,,,,,,,,,,,,,,,,,,
120.0,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706.0,data lake,,,,,,,,,,,,,,,,,,,,,
121.0,Lucy,Woods,,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274.0,data lake,,,,,,,,,,,,,,,,,,,,,
122.0,Shena,Carter,,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,11414.0,data lake,,,,,,,,,,,,,,,,,,,,,
123.0,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,78418.0,data lake,,,,,,,,,,,,,,,,,,,,,
124.0,Jeni,Booker,,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733.0,data lake,,,,,,,,,,,,,,,,,,,,,
125.0,Herlinda,Stone,,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,14424.0,data lake,,,,,,,,,,,,,,,,,,,,,
126.0,Lavina,Dejesus,,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,12550.0,data lake,,,,,,,,,,,,,,,,,,,,,
127.0,Erlinda,Nielsen,,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,11378.0,data lake,,,,,,,,,,,,,,,,,,,,,
128.0,Terrance,Lynn,,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,12901.0,data lake,,,,,,,,,,,,,,,,,,,,,
129.0,Walton,Dejesus,,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,14094.0,data lake,,,,,,,,,,,,,,,,,,,,,
130.0,Wes,Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,12180.0,data lake,,,,,,,,,,,,,,,,,,,,,
131.0,Tanesha,Hampton,,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,11791.0,data lake,,,,,,,,,,,,,,,,,,,,,
132.0,Boyd,Irwin,,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,14075.0,data lake,,,,,,,,,,,,,,,,,,,,,
133.0,Delbert,Wilkins,,delbert.wilkins@aol.com,420 Greenview St. ,Coram,NY,11727.0,data lake,,,,,,,,,,,,,,,,,,,,,
134.0,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,NY,11550.0,data lake,,,,,,,,,,,,,,,,,,,,,
135.0,Dorthey,Jackson,(281) 926-8010,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,TX,77016.0,data lake,,,,,,,,,,,,,,,,,,,,,
136.0,Sarita,Parks,,sarita.parks@msn.com,7809 Second Lane ,Forney,TX,75126.0,data lake,,,,,,,,,,,,,,,,,,,,,
137.0,Shonta,Mercer,,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,NY,11758.0,data lake,,,,,,,,,,,,,,,,,,,,,
138.0,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,92806.0,data lake,,,,,,,,,,,,,,,,,,,,,
139.0,Wanita,Davenport,,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,NY,10977.0,data lake,,,,,,,,,,,,,,,,,,,,,
140.0,Cleopatra,Tate,,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,NY,11369.0,data lake,,,,,,,,,,,,,,,,,,,,,
141.0,Ramiro,Byers,,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,NY,11412.0,data lake,,,,,,,,,,,,,,,,,,,,,
142.0,Nicholas,Vazquez,,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,NY,11552.0,data lake,,,,,,,,,,,,,,,,,,,,,
143.0,Janae,Doyle,,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,NY,11372.0,data lake,,,,,,,,,,,,,,,,,,,,,
144.0,Hans,Price,,hans.price@hotmail.com,51 Glendale Road ,Port Chester,NY,10573.0,data lake,,,,,,,,,,,,,,,,,,,,,
145.0,Miquel,Neal,,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,NY,10301.0,data lake,,,,,,,,,,,,,,,,,,,,,
146.0,Stefany,Potter,,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,NY,12866.0,data lake,,,,,,,,,,,,,,,,,,,,,
147.0,Bernetta,Marquez,,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,NY,11787.0,data lake,,,,,,,,,,,,,,,,,,,,,
148.0,Julee,Woodard,,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,NY,11418.0,data lake,,,,,,,,,,,,,,,,,,,,,
149.0,Meredith,Bryan,,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,NY,10977.0,data lake,,,,,,,,,,,,,,,,,,,,,
150.0,Weldon,Michael,,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,NY,11743.0,data lake,,,,,,,,,,,,,,,,,,,,,
151.0,Joesph,Delacruz,,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,95301.0,data lake,,,,,,,,,,,,,,,,,,,,,
152.0,Katherina,Odom,,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,NY,11803.0,data lake,,,,,,,,,,,,,,,,,,,,,
153.0,Laraine,Robbins,,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,TX,76901.0,data lake,,,,,,,,,,,,,,,,,,,,,
154.0,Jenise,Preston,,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,TX,78023.0,data lake,,,,,,,,,,,,,,,,,,,,,
155.0,Lory,Page,,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,NY,11706.0,data lake,,,,,,,,,,,,,,,,,,,,,
156.0,Charlyn,Cantrell,,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,NY,11795.0,data lake,,,,,,,,,,,,,,,,,,,,,
157.0,Carola,Rodriquez,,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,92220.0,data lake,,,,,,,,,,,,,,,,,,,,,
158.0,Alane,Kennedy,,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,NY,10977.0,data lake,,,,,,,,,,,,,,,,,,,,,
159.0,Regina,Burns,,regina.burns@aol.com,713 Buckingham St. ,Garland,TX,75043.0,data lake,,,,,,,,,,,,,,,,,,,,,
160.0,Omer,Estrada,,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,TX,75088.0,data lake,,,,,,,,,,,,,,,,,,,,,
161.0,Crystle,Gilliam,,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,NY,11787.0,data lake,,,,,,,,,,,,,,,,,,,,,
162.0,Kam,Wilder,,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,NY,12550.0,data lake,,,,,,,,,,,,,,,,,,,,,
163.0,Margert,Stevens,,margert.stevens@aol.com,502 North Poplar St. ,Rome,NY,13440.0,data lake,,,,,,,,,,,,,,,,,,,,,
164.0,Tomika,Larson,,tomika.larson@yahoo.com,254 Canal St. ,Woodside,NY,11377.0,data lake,,,,,,,,,,,,,,,,,,,,,
165.0,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,95127.0,data lake,,,,,,,,,,,,,,,,,,,,,
166.0,Lena,Mills,,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,NY,11421.0,data lake,,,,,,,,,,,,,,,,,,,,,
167.0,Loreta,Johnston,,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,NY,10977.0,data lake,,,,,,,,,,,,,,,,,,,,,
168.0,Nettie,Mcdaniel,,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,NY,11420.0,data lake,,,,,,,,,,,,,,,,,,,,,
169.0,Karla,Kirk,,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,90274.0,data lake,,,,,,,,,,,,,,,,,,,,,
170.0,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,93035.0,data lake,,,,,,,,,,,,,,,,,,,,,
171.0,Miriam,Baker,,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,NY,11553.0,data lake,,,,,,,,,,,,,,,,,,,,,
